zh-CN,en-US
在登录界面，输入用户名和初始密码，点击登录，进入主界面。,"Input the username and password, and tapLoginto go to the main interface."
文中涉及的其它名称及商标属于各自所有者资产。,Other names and trademarks mentioned in this guide may be the property of their respective companies and subsidiaries.
指南版本2.0，软件版本V1。,The guide version is 2.0 and the software version is V1.
内置废液桶为仪器随附，外接废液桶需用户自行购买。,"The internal waste containers are provided with the device, while the external waste containers should be purchased separately by users."
如需进行测序，执行如下操作创建用户：,"To perform sequencing, you should create an Engineer or Operator user after the login with the Administrator account. Perform the following steps:"
每次上机测序前，需确保测序仪配套的废液桶已清空。,"Before each run, ensure that the waste container placed in side A, B, C, or D is emptied."
选择以下任意一种废液桶：,Select either waste container described below as required:
废液桶,The external waste container
产品型号,Model
体积（L）,Volume (L)
废液体积（L）（包含下机自动清洗）,Volume (L)
~3.4,Approximately 3.4
例如，大小写字母、数字与符号结合的、长度较长的密码。,"Create a long password using a combination of uppercase and lowercase letters, digits, and symbols, and"
为保证信息安全，建议设置复杂度较高的密码。,"To ensure computer safety, use a strong password and record it in a safe location."
首次登录计算机后，建议修改计算机登录密码。,"After the first login, it is recommended that you change the login password."
建议每隔三个月更换一次密码。,change the password every 3 months.
否则，将改变系统权限，并导致仪器停止运行。,Doing so may cause the device to stop.
连接电源线。,Connect the device to the power supply using the power cord.
BCS（Basecall服务器）光纤接口,BCS (BaseCall Server) fiber port
SBC（单板计算机）网络接口,SBC (Single Board Computer) network port
表示已与电源断开,Indicates disconnection from the mains supply
连接BCS外接显示器,Connects to the external BCS monitor
表示已接通电源,Indicates connection to the mains supply
BCS网络接口,BCS network port
将废液桶中的废液倒入实验室指定的废液桶中，用实验室用水冲洗废液桶三次，风干后常温保存。,"Empty the waste liquid in the waste container into the designated waste container in the laboratory, rinse the waste container 3 times with laboratory-grade water, let it air-dry, and store it at room temperature."
打开总仓门，拉出A边的试剂仓抽屉，取出测序试剂槽和清洗试剂槽，推入抽屉。,"Open the general compartment door. Slide the reagent compartment drawer of side A outward, remove the Sequencing Reagent Cartridge and Washing Cartridge, and slide the drawer inward until it stops."
缓慢拉出A边的废液仓抽屉，缓慢取出废液桶，以免废液溅出。,"Gently slide the waste container drawer of side A outward. Then, gently remove the waste container to prevent the waste liquid from splashing out."
完成后推入抽屉，关闭总仓门。,"After completion, slide the drawer inward until it stops, and close the general compartment door."
处理废液桶,Disposing of the waste container
根据以下公式，计算每个样本理论相对量：,Calculate the theoretical relative amount [Vn] for each sample according to the formula below:
使用普通尖口的吸头缓慢进行DNB取样。,"Use normal sharp pipette tips to gently aspirate the required volume of DNBs, and"
n表示样本ID。,n represents the sample ID.
根据以下公式，计算总相对量：,Calculate the total relative amount [V2] for all samples according to the formula below:
如发现异常，根据提示检查问题部件，并参考本指南排除故障。,"If errors occur, follow the on-screen prompts to check the related component and check the solution described in [FAQs] in this guide to fix the problem."
测序界面实时显示运行信息，提供相关信息的查询，可根据需要点击相关按钮进行操作。,The Sequencing interface displays real-time sequencing information and provides related information queries. Tap the relevant buttons to perform corresponding operations as needed.
自检完成后，系统进入测序界面。,"After the self-check succeeds, the Sequencing interface is displayed."
流程运行过程中，请勿撞击、移动、晃动仪器，或在仪器周围放置其他产生振动的设备。,"Do not bump, move, vibrate or impact the device during sequencing."
请及时留意状态指示灯或界面提示。,Pay special attention to the LED status bar or on-screen prompts.
否则，可能导致结果异常。,Doing so may cause inaccurate sequencing results.
系统进入测序自检界面。,The Sequencing self-check interface is displayed.
测序自检界面,Sequencing self-check interface
取用0.2 mL八联管或PCR管，根据不同文库类型制备相应的DNB制备混合液1或App DNB制备混合液1：,"Take out a 0.2 mL 8-strip tube or PCR tube, and prepare Make DNB reaction mixture 1 or App Make DNB reaction mixture 1 based on different libraries."
测序及自动清洗完成后，进入测序完成界面，此次上机完毕。,"After the sequencing and automatic wash procedures are completed, the sequencing completion interface is displayed, indicating that the current sequencing run is completed."
具体操作参考。,"For details about how to perform a manual wash, refer to."
测序完成界面,Sequencing completion interface
取出DNB聚合酶混合液Ⅱ（LC），短暂离心5 s，置于冰上备用。,"Remove Make DNB Enzyme Mix II (LC) from storage, centrifuge it briefly for 5 s, and place it on ice until use."
勿将DNB聚合酶混合液Ⅱ（LC）置于室温，勿长时间触碰管壁。,"Do not keep Make DNB Enzyme Mix II (LC) at room temperature, and avoid holding the tube for a prolonged time."
DNB制备引物杂交反应条件,Primer hybridization reaction conditions
ssDNA文库,ssDNA libraries
在冰上将下表列出的试剂加入装有DNB制备反应混合液1或App DNB制备反应混合液1的PCR管中：,Prepare Make DNB reaction mixture 2 according to the table below: Add all of Make DNB reaction mixture 2 to the PCR tube with Make DNB reaction mixture 1 or App Make DNB reaction mixture 1 on ice.
DNB聚合酶混合液Ⅱ（LC）,Make DNB Enzyme Mix II (LC)
DNB制备完成后，取用2 μL DNB，使用Qubit ssDNA Assay Kit 和Qubit 荧光定量仪进行浓度检测，具体操作需参考附录样本DNB定量操作指导章节。,"When the make DNB process is completed, take out 2 μL of DNBs, and use Qubit ssDNA Assay Kit and Qubit Fluorometer to quantify the DNBs. For details, refer to [Instructions for using Qubit to quantify the DNBs]."
若浓度超过40 ng/μL，使用前用TE缓冲液将DNB的浓度稀释至20 ng/μL后立即使用。,"If the DNB concentration exceeds 40 ng/μL, dilute the DNBs to 20 ng/μL with Low TE Buffer, and immediately use the diluted DNBs for sequencing."
完成后立即测定DNB浓度，并尽快上机测序。,"After completion, immediately quantify the DNBs and proceed to sequencing as soon as possible."
